"county","avg_population","deaths.heatdays","deaths.predicted","rr","rr.lo","rr.up","excess","excess_up","excess_lo"
"BELL",342863.571428571,1903,1886.63785368011,1.00867264816508,0.944994377564262,1.0723509187659,16.3621463198878,125.069651815623,-99.0349714624722
"BEXAR",1920506.42857143,11666,11564.0802500635,1.00881347653532,0.983093836150043,1.0345331169206,101.919749936485,401.522553434116,-205.709326867454
"BRAZORIA",352978,1262,1246.7959792022,1.01219447371616,0.933930594574439,1.09045835285789,15.2040207978012,104.745604963973,-81.3194967082651
"BRAZOS",218285.285714286,871,855.710880972061,1.01786715509632,0.923527718225813,1.11220659196683,15.2891190279386,85.0749053901034,-60.7367655288267
"CAMERON",420670.142857143,2220,2067.81675557838,1.07359609791877,1.01369405036031,1.13349814547723,152.183244421623,271.992419208816,24.9405759067077
"COLLIN",944424.571428571,3041,2999.24533696558,1.0139217230814,0.963482411034808,1.06436103512799,41.7546630344163,171.434192137761,-93.8222720143563
"COMAL",135721.428571429,845,837.294258094975,1.00920314671996,0.91362917333449,1.10477712010542,7.70574190502454,82.9619968137422,-75.0386106966104
"DALLAS",2576890.57142857,10622,10417.0394446026,1.01967550919696,0.992648765542925,1.046702252851,204.960555397403,449.819299722445,-45.8283996612366
"DENTON",807274.285714286,2199,2162.14055592284,1.01704766324103,0.957686618328798,1.07640870815327,36.859444077156,144.664019828518,-76.6369698491915
"ELLIS",169141.857142857,569,589.715888618729,0.964871408387433,0.849694078901445,1.08004873787342,-20.715888618729,35.4534232147333,-82.840979764014
"ELPASO",834994,3729,3652.41237289657,1.02096905258337,0.975340182829647,1.0665979223371,76.5876271034295,225.262244776364,-78.4342617636625
"FORTBEND",737552.428571429,1886,1894.10015187596,0.99572348280109,0.931965376288337,1.05948158931384,-8.10015187595523,102.122838056445,-125.179938673756
"GALVESTON",326340,1884,1796.90305511172,1.04847058645736,0.983841132252524,1.11310004066219,87.0969448882803,197.294971336377,-30.3587193460178
"GRAYSON",128718.714285714,921,909.254292009689,1.01291795715844,0.921287618146829,1.10454829617006,11.745707990311,80.555845565445,-62.7347702627486
"GREGG",123370.571428571,1137,1108.68476613828,1.02553948130842,0.942812687038167,1.10826627557867,28.3152338617171,107.289655121395,-56.7575482600881
"GUADALUPE",154932,661,591.057344249009,1.11833480529687,1.00737833246913,1.22929127812461,69.942655750991,131.829030551658,0.761874804197967
"HARRIS",4577475.57142857,20308,20292.99025624,1.00073965165165,0.981285254226649,1.02019404907666,15.0097437600147,380.472046534038,-357.198453485623
"HAYS",203960,741,752.038588851918,0.985321778675254,0.883869356388752,1.08677420096176,-11.0385888519183,60.2583381511652,-89.852514350526
"HIDALGO",846331.285714286,3060,3062.72563242857,0.99911006314124,0.949012833433729,1.04920729284875,-2.72563242856613,139.88129787475,-152.352640420807
"HUNT",92411.2857142857,494,476.500055130531,1.03672600806872,0.910874361642894,1.16257765449454,17.4999448694686,69.2509237395371,-40.6011694004887
"JEFFERSON",253953.714285714,2246,2252.67277113796,0.997037842680278,0.938593249133151,1.05548243622741,-6.67277113796415,114.123320520036,-134.365739232498
"JOHNSON",163903.714285714,466,454.91646853692,1.02436388266779,0.895180276667073,1.15354748866851,11.0835314630796,59.0888045520768,-42.6231888000967
"KAUFMAN",119734.285714286,451,429.954924554796,1.04894716688498,0.916837931055823,1.18105640271414,21.0450754452036,68.5573921281916,-32.4108128622504
"LUBBOCK",301141.142857143,2396,2391.86751928094,1.00172772140838,0.945075731864614,1.05837971095214,4.13248071905946,127.755831134997,-126.268883779968
"MCLENNAN",248579.428571429,1595,1577.62821637332,1.01101132918795,0.941415536417904,1.08060712195799,17.3717836266778,116.077929097238,-87.9697729646585
"MIDLAND",164273.428571429,809,786.011310957978,1.02924727509837,0.931083941997815,1.12741060819893,22.9886890420221,92.3788420906362,-53.1653329566951
"MONTGOMERY",553611.857142857,3016,3044.46951047009,0.990648777932517,0.940294343371016,1.04100321249402,-28.4695104700863,113.555503356385,-177.487725190267
"NUECES",359614.857142857,2152,2143.27888696887,1.00406905190181,0.944256645077441,1.06388145872618,8.7211130311267,120.064042906106,-108.775611251614
"PARKER",130141.142857143,486,462.030491833639,1.05187862833735,0.924524282108669,1.17923297456603,23.9695081663607,71.7860000016498,-29.4041355576341
"POTTER",120365.428571429,1387,1409.69763213158,0.983898935761664,0.909771732829274,1.05802613869405,-22.6976321315813,68.7628151025954,-120.547097769788
"SMITH",224766.142857143,2099,2104.29764116457,0.997482465854194,0.937019236402847,1.05794569530554,-5.29764116457074,102.737184617906,-119.217128069457
"TARRANT",2015391,8485,8477.52646484878,1.00088157025309,0.970783348330375,1.03097979217581,7.47353515121884,224.689459224065,-215.488640413491
"TAYLOR",136180.857142857,1120,1078.24223380708,1.03872762991808,0.955104452684617,1.12235080715154,41.7577661929234,123.589638066742,-46.8372701200372
"TOMGREEN",117275.285714286,786,810.08632128187,0.97026696952029,0.872135718223596,1.06839822081698,-24.0863212818703,46.9156354594987,-101.955074426372
"TRAVIS",1201219.14285714,4561,4513.59742898212,1.01050217077702,0.969351368332551,1.05165297322148,47.402571017877,226.005079715621,-138.60646481291
"WEBB",271360.571428571,1092,1070.93620384004,1.01966858164327,0.93537688277871,1.10396028050782,21.0637961599585,111.450779611453,-77.7264293219237
"WICHITA",131831.428571429,930,931.543063583269,0.998343540257459,0.907488364561136,1.08919871595378,-1.54306358326915,67.3637977568067,-75.9882589563265
"WILLIAMSON",527992.857142857,2089,2128.84756977045,0.981282093496837,0.920920595577974,1.0416435914157,-39.8475697704496,82.5067233422794,-169.713363767216
"ECTOR",158162.714285714,973,946.077964701652,1.02845646585463,0.938964819668351,1.1179481120409,26.9220352983476,106.239633659771,-59.7077660954266
"ROCKWALL",93944.2857142857,456,434.466525646664,1.04956302288487,0.918160323001441,1.1809657227683,21.5334743533356,71.1018936156179,-34.4553733865282
"RANDALL",132230.714285714,346,350.590720593762,0.986905755560253,0.838378329174072,1.13543318194643,-4.59072059376171,39.7067595031702,-55.3429326420634
